					
番号	出店タイトル	PR文	画像	開催場所	タグ
F3 機械建設1号棟 101講義室、103講義室	ポケカ体験会	大人気ポケモンカードゲームの対戦を体験できます！必要なのは楽しむ気持ちだけ！	https://drive.google.com/file/d/1o4eV6NBzHbGvxY0NBnIdkefsxhMohXHt/view?usp=drive_link	その他屋内団体	子供向け, 体験, 学生出店
講義棟301 G10	無線機器，電子工作物展示会	無線を使った電気工作物，他にもユニークな電気工作物の展示を行っています。ぜひ見に来てください。	https://i.imgur.com/OgdlaE4.png	講義棟エリア	展示, 学生出店
講義棟105 G4	４Kで読み込むと...（なおFHD）	モーショントラッキング体験できます！  個人映像作品の展示も行います．	https://i.imgur.com/1MjVivf.jpeg	講義棟エリア	子供向け, 学生出店, 展示, 体験
講義棟306 G14	活動紹介	偉人達も世界一の本、「聖書」を読んだ！一緒に読んでみませんか？	https://i.imgur.com/QyJXkCL.jpeg	講義棟エリア	学生出店, 展示
E8	モルック体験会	モルックは老若男女が楽しめるスポーツ！全日本学生チャンピオンの私たちと一緒にモルックしませんか？	https://i.imgur.com/CNPqqGP.jpeg	機械建設棟エリア	子供向け, 学生出店, 展示, 体験
F5 地域防災実践研究センター	ドローン・ロボット操縦体験＋研究紹介	レスキューロボット，ドローンの操縦体験，研究紹介を行います．ぜひお越しください！	https://i.imgur.com/SMzbePZ.png	その他屋内団体	展示, 体験, 学生出店, 子供向け, 研究室
講義棟303 G12	表現写真展	なぜ美しい光景でも記念や記録でもない写真を撮るのか？意味付けの実施を目的に撮影した「表現写真」を展示	https://i.imgur.com/XZvnd4V.png	講義棟エリア	学生出店, 展示
講義棟203 G6	AGLゲームセンター	様々なボードゲーム、デジタルゲームをご用意しています。皆さんのご参加をお待ちしています。	https://i.imgur.com/Up9n706.png	講義棟エリア	子供向け, 学生出店, 体験
講義棟306 G15	生き物レジンストラップつくり	身近な虫や植物でストラップを作りませんか？子どもから技大生、大人まで全ての方をお持ちしています！	https://i.imgur.com/5NB59lF.jpeg	講義棟エリア	子供向け, 学生出店, 体験
F4 地域防災実践研究センター	RoboPro長岡	全国ベスト4のロボットが見られる貴重なチャンス！！ロボット好きでもそうでない人も気軽にお越しください	https://i.imgur.com/rMbCeCd.jpeg	その他屋内団体	展示, 体験, 子供向け, 学生出店
F2 テクノミュージアム	てくみゅ	てくみゅでは大学の研究成果を一般の方にもわかりやすく展示しています。お待ちしております。	https://i.imgur.com/P7b0Qdy.jpeg	その他屋内団体	展示
講義棟209、210 G9	理科実験教室「かがくのおもちゃ箱」	土曜日は小中学生から大人まで楽しめる理科実験教室を開催します。日曜日は展示と動画上映を行います。	https://i.imgur.com/MnG34oT.jpeg	講義棟エリア	体験, 展示, 研究室, 子供向け
講義棟106 G5	工作教室＆プラレール体験	TECと一緒に科学と技術の冒険へ出発！プラバンキーホルダー・プラレール・偏光板万華鏡を体験しよう！	https://i.imgur.com/2TngtY1.jpeg	講義棟エリア	子供向け, 学生出店, 体験
F1	全身放射能測定体験	技大と原子力研究開発機構のコラボにより、全身放射能測定体験会や放射能を見る装置の展示を行います。	https://firebasestorage.googleapis.com/v0/b/group-manager-2.appspot.com/o/WBC%E5%AE%9F%E7%BF%9220160917_066.JPG?alt=media&token=5e557364-1960-4384-8a8a-b1f5cc5da639	その他屋内団体	子供向け, 展示, 体験, 研究室
講義棟302 G11	技術っておもしろい！！作って学ぶ体験会	ペーパークロマトグラフィ､電卓部品､マイクロプラスチックでオリジナル工作！触って､作って学ぼう！	https://i.imgur.com/Q3uUaMt.png	講義棟エリア	体験, 子供向け, 学生出店
講義棟103 G2	RoboMasterを体験してみよう！	Phoenix Robotsは中国・深圳で開催されるロボット競技の世界大会に参加するチームです！	https://i.imgur.com/KjjGHVj.png	講義棟エリア	子供向け, 学生出店, 体験
講義棟305 G13	ミニ四駆走行会	ミニ四駆のコースを設置しております！完成車もあります！お気軽にお越しください！	https://drive.google.com/file/d/15u-u2VlGfC_osZgnmiBPNz3Er7c5-vbA/view?usp=drive_link	講義棟エリア	子供向け, 体験, 学生出店
講義棟104 G3	アロマリラクゼーション	日々の体の疲れを癒しに変えませんか。是非体験お待ちしています！	https://drive.google.com/file/d/1-6wlvElc7R9QnRvxLg9g7wxAqj4TxzOu/view?usp=drive_link	講義棟エリア	体験, 学生出店
