						
番号	出店タイトル	PR文	画像	開催場所	タグ	メニュー
B3	焼き鳥	くらりんくらりん焼き鳥くらりん♪  炭火の香りほとばしる～  技大祭に職人光臨♪  至高の一品ご賞味あれ～	https://i.imgur.com/e6dblCd.png	図書館エリア	学生出店, フード, お酒あり, ドリンク	焼き鳥（もも）, 焼き鳥（かわ）, 焼き鳥（つくね）, ビール
B5	お茶会	おいしいお菓子と、抹茶を用意してお待ちしております！冷茶もあります！	https://i.imgur.com/BCH6F8d.png	図書館エリア	学生出店, スイーツ, ドリンク	お茶, お菓子, お菓子(アレルギー対応用)
E11	Khuushuur	We are giving you the opportunity to taste Mongolian dish, KHUUSHUUR. Enjoy your meal..	https://i.imgur.com/qIPCWhN.jpeg	機械建設棟エリア	学生出店, 国際グルメ, フード	Khuushuur
A1	日本酒飲み比べ	日本酒サークルしゅがくです。日本酒、梅酒の飲み比べや甘酒試飲会を行っています。ぜひお越しください！	https://i.imgur.com/F68R0Bp.jpeg	事務棟エリア	学生出店, お酒あり, ドリンク	日本酒試飲セット(軽食付き), 甘酒試飲
C1	グビッとフランクフルト	香ばしいフランクフルトとキンキンの生ビールで乾杯しよう！ お待ちしてます！	https://firebasestorage.googleapis.com/v0/b/group-manager-2.appspot.com/o/898C7780-2905-4C1A-9774-D00C233E8E35.png?alt=media	電気棟エリア	学生出店, お酒あり, フード, ドリンク	フランクフルト, お酒, ソフトドリンク
A8	ジビエバーガー	あのジビエバーガーが帰ってきた！イノシシの肉々しさはそのままにザクザク食感も追加！ご賞味あれ！	https://i.imgur.com/k4tBt6e.jpeg	事務棟エリア	学生出店, フード	ジビエバーガー, コーラ, チャイ
D3	焼きうどん	2023年度模擬店グランプリ1位の野球部特製焼きうどん復活！飲食スペースもございます	https://i.imgur.com/qSxzsl0.png	メインステージエリア	学生出店, フード	焼きうどん
B2	チキンチロとかき氷のお店 	今年もやります！チンチロ×屋台でおトクに購入しちゃってください！	https://i.imgur.com/SO3wbFw.jpeg	図書館エリア		かき氷, から揚げ
E10	ケバブ	マレーシア団体に来てくださいね。	https://i.imgur.com/Zb3CYqL.png	機械建設棟エリア	キッチンカー	ケバブ, オンデーオンデー
E6	メキシコショップ	Poster for announcement	https://i.imgur.com/iRyYHiO.png	機械建設棟エリア	学生出店, 国際グルメ, フード, お酒あり, ドリンク	Picadilloのタコス, テキーラショット
C4	喫茶サボりん	横倉研究室ではロボットの制御を研究していますが、当日は研究をサボってタピオカとチュロスを売ります！	https://i.imgur.com/IDShnI4.png	電気棟エリア	学生出店, フード, スイーツ, ドリンク	タピオカドリンク, チュロス
D1	新潟名物 ぽっぽ焼き	新潟のお祭でしか見られない幻のお菓子，ぽっぽ焼き売ってます！さらにアイスも売ってます！	https://i.imgur.com/YSvaCs0.png	メインステージエリア	学生出店, スイーツ	ぽっぽ焼き, バニラアイス, トッピング
B6	キラキラ☆電球ソーダ＆レインボーわたあめ♡	キラキラ☆ふわふわ♡  ソーダとわたあめのお店です♪  アイスクレープとりんご飴もあります♡♡	https://i.imgur.com/wmymo4h.png	図書館エリア	学生出店, スイーツ, ドリンク	わたあめ, アイスブリュレクレープ, 電球ソーダ, フルーツソーダ, りんご飴
