															
番号	企画名	PR文	画像URL	開催場所（晴れ）	開催場所（雨）	タグ	参加応募URL	1日目(晴)開始時刻	1日目(晴)終了時刻	1日目(雨)開始時刻	1日目(雨)終了時刻	2日目(晴)開始時刻	2日目(晴)終了時刻	2日目(雨)開始時刻	2日目(雨)終了時刻
1	ビンゴ大会	スタンプを一つ集めた人のみ参加可能！テレビやディズニーペアチケットなど豪華景品が当たるチャンス！！	https://drive.google.com/file/d/1_brmbPKOP9t_L7Uehy_N3wEZBn2mDvKt/view?usp=drive_link	屋外ステージ	体育館ステージ	ステージ企画, 2日目		なし	なし	なし	なし	17:00(16:00~受付)	18:30	17:00(16:00~受付)	18:30
2	ヒーローショー	今年のギダイジャーは何か変？？　どうなるギダイジャー！？　新グッズも配布中！	https://drive.google.com/file/d/1B_dx5-3IMwJP7MHm4rDTlOH7sOkoYuOb/view?usp=drive_link	屋外ステージ	体育館ステージ	ステージ企画, 1日目, 2日目, 子供向け		12:45	13:15	12:45	13:15	14:30	15:00	14:30	15:00
3	Music NUTs	去年の中夜祭からさらにパワーアップ！ 外ステージではダンス、体育館ステージでは軽音。 熱い音楽と迫力のパフォーマンスを、ぜひ刮目せよ！	https://drive.google.com/file/d/19pL4csgy-zI3V0PS7SkzMwtBqJB-41X6/view?usp=drive_link	屋外ステージ(16:45~17:15) 体育館ステージ(17:30~20:00)	体育館ステージ	ステージ企画, 1日目		16:45	20:00	17:30	16:00	なし	なし	なし	なし
4	縁日	ストラックアウト、ヨーヨー釣り、イライラ棒、しゃぼん玉遊びの４つの遊びが開催だ！ちびっ子たち、集まれ～！！！	https://drive.google.com/file/d/1uDyLM8ZAt-japYcewamERSG5gvp59QD9/view?usp=drive_link	中央駐車場	中止	1日目, 2日目, 子供向け		10:00	16:00	10:00	16:00	10:00	16:00	10:00	16:00
5	技大神輿	技大神輿がお菓子を撒きながら大学内を練り歩きます！神輿と写真を撮れるフォトスポットも！！	https://drive.google.com/file/d/1Wm1TbEcUM9VjLbLx5uKsKzsOxqC0kPnc/view?usp=drive_link	屋外ステージ	中止	1日目, 2日目		10:45/15:30	11:00/15:45	10:45/15:30	11:00/15:45	11:30	11:45	11:30	11:45
6	ワークショップ	あなたの描いたイラストがスマホで見れる花火に！？お持ち帰りできます！灯籠も作れる！お子さんも大歓迎！	https://drive.google.com/file/d/1tI3CFxkCFSrhj_Q5r3uZDiCJRB84DB4O/view?usp=drive_link	講義棟206	講義棟206	1日目, 2日目, 講義棟企画		10:00	16:00	10:00	16:00	10:00	16:00	10:00	16:00
7	クイズ大会	子供からお年寄りまで、だれでも何人でも参加可能！優勝者には豪華景品もあります！掴め、技大ドリーム！	https://drive.google.com/file/d/1_7NoSa_2L2dq_uM-Bmvjp0QqAl8ND75N/view?usp=drive_link	屋外ステージ	体育館ステージ	1日目		13:30	14:30	13:30	14:30	なし	なし	なし	なし
8	ゲーム大会（１日目）	福利棟横、マルチメディアシステムセンターにて大乱闘スマッシュブラザーズを用いた熱く、エキサイティングな戦いが行われます。ぜひお越しください！！（こちらからは１日目への参加応募ができます）	https://drive.google.com/file/d/10LtBtKlII2vkczysXLXY7AeU-ZIdqyIF/view?usp=drive_link	マルチメディアシステムセンター	マルチメディアシステムセンター	1日目, 事前に参加募集	https://forms.gle/Y8U2QY8GniykUuft9	12:00	15:00	12:00	15:00	ゲーム大会（２日目）をご覧ください	ゲーム大会（２日目）をご覧ください	ゲーム大会（２日目）をご覧ください	ゲーム大会（２日目）をご覧ください
9	ゲーム大会（２日目）	福利棟横、マルチメディアシステムセンターにて大乱闘スマッシュブラザーズを用いた熱く、エキサイティングな戦いが行われます。ぜひお越しください！！（こちらからは２日目への参加応募ができます）	https://drive.google.com/file/d/10LtBtKlII2vkczysXLXY7AeU-ZIdqyIF/view?usp=drive_link	マルチメディアシステムセンター	マルチメディアシステムセンター	2日目, 事前に参加募集	https://tonamel.com/competition/LHx5n	ゲーム大会（１日目）をご覧ください	ゲーム大会（１日目）をご覧ください	ゲーム大会（１日目）をご覧ください	ゲーム大会（１日目）をご覧ください	11:00	16:00	11:00	16:00
10	お化け屋敷	技大祭の新名物！！封鎖された研究室に調査員として潜入！技大生ゾンビ化の謎を解き明かせ！	https://drive.google.com/file/d/1kGUmVdB_dqOOnaIzd8I73YlJS5S4Jp4X/view?usp=drive_link	物材院講義室	物財院講義室	1日目, 2日目, 講義棟企画		10:00	16:00	10:00	16:00	10:00	15:00	10:00	15:00
11	スタンプラリー	8箇所のスタンプを集めて技大祭を楽しく回ろう！！全部集めたら景品ゲット！	https://drive.google.com/file/d/1BkVl-75Eko7Al9I4Yfs6MQ-UyT-HvdWt/view?usp=drive_link	学校全体	学校全体	1日目, 2日目, 常時開催		10:00	17:00	10:00	17:00	10:00	17:00	10:00	17:00
12	謎解き	来場者全員参加可能！全6問で誰でも参加できるよ！全問正解すると景品ゲット！君は解けるかな？	https://drive.google.com/file/d/1bgWr3_mAPbb1vu2di6ykupT3lMGWiKgg/view?usp=drive_link	学校全体	学校全体	1日目, 2日目, 常時開催		10:00	17:00	10:00	17:00	10:00	17:00	10:00	17:00
13	グルメグランプリ	うまい飯、ここに集結！国際グルメからサークル飯、技大生の気合が詰まった屋台がズラリ！投票はステージ横で受付中！優勝グルメは誰の手に！？目指せ、グルメ王！	https://drive.google.com/file/d/11aPegWkZvr0xxtqfhVFk0RrAxB52Frkz/view?usp=drive_link	屋外ステージ 横テント	屋外ステージ 横テント	1日目, 2日目, 常時開催		10:00	17:00	10:00	17:00	10:00	15:00	10:00	15:00
14	8番教室	8番教室の、異変を見つけること。ふたつの教室を見比べて、違うところを見つけよ。物の配置、数、色など…あなたはこの異変に気づけるか？	https://drive.google.com/file/d/1WsRsHr5S_5F3lB2YcczObwmjoirW-tCV/view?usp=drive_link	講義棟201	講義棟201	1日目, 講義棟企画		11:30	15:00	11:30	15:00	なし	なし	なし	なし
15	ブーケトス	老若男女参加可能！ブーケを手にして幸せを掴もう！様々なプレゼントブーケを用意してます！	https://drive.google.com/file/d/17JLuMgVQKqVwr0VvZK4Jk_3dFzl75xeO/view?usp=drive_link	屋外ステージ	体育館ステージ	ステージ企画, 1日目		15:00	15:30	15:00	15:30	なし	なし	なし	なし
16	Sweet Photato Contest	〈数量限定〉いしや～きいも～♪写真(フォト)も♪　技大祭の写真をSNSに投稿して秋の味覚をゲットしよう！＃44th技大祭をつけて投稿してね！	https://drive.google.com/file/d/1CF-XPHBDlHJhb7tLhS_QRSHsj9Uythjd/view?usp=drive_link	福利棟横テント	中止	1日目, 2日目, 常時開催		10:00	14:00	10:00	14:00	10:00	14:00	10:00	14:00
17	二人羽織チャレンジ	見ても楽しい！参加すればもっと楽しい！二人で「二人羽織」や「目隠し」をしてユニークな4種目に挑戦！あなたのペアは生きぴったり？それとも珍プレー連発！？	https://drive.google.com/file/d/1PMHETHCOpvre8Y8YNvtaR39hCoyEzVdR/view?usp=drive_link	講義棟205	講義棟205	1日目, 2日目, 講義棟企画		11:00	13:00	11:00	13:00	12:00	14:00	12:00	14:00
