			
番号	企業名	広告画像	企業HPのURL
1	株式会社イートラスト	https://drive.google.com/file/d/1bcsRpXjRK5aurvWh7kHOhIMcnouTJCHP/view?usp=sharing	https://www.etrust.ne.jp/
2	株式会社竹内製作所		https://www.takeuchi-mfg.co.jp/
3	JAMP 除雪足場メタバースプロジェクト		https://jamp.nagaokaut.ac.jp/
4	アルプスアルパイン株式会社	https://drive.google.com/file/d/1IQf4JgSgeldT9ktpu1oL-Vn-ZwkUR7am/view?usp=sharing	https://www.alpsalpine.com
5	近藤産業株式会社	https://drive.google.com/file/d/157pC7NJmHyUcjiIn_jR3RP-W1b5Jq6Y3/view?usp=sharing	http://kondo-sangyo.co.jp
6	株式会社宮下電設		https://miyashita-densetsu.co.jp/
7	学習塾 Polaris長岡	https://drive.google.com/file/d/19zKZRHAAZgCgOiJTjZQHdQnjx07Ba_2x/view?usp=drive_link	https://polaris-nagaoka.jp/
8	株式会社レインボーブライト	https://drive.google.com/file/d/18acGWzKLVFs0r3yDYbwMOFRaazrDAQQm/view?usp=sharing	https://www.rainbowbright.co.jp/
9	株式会社七里商店	https://drive.google.com/file/d/1y78MKQrmgdHJ2xzFzDmn0OMlKTtyKqxL/view?usp=drive_link	https://www.shichiri.co.jp/
10	株式会社長岡新聞社		
11	株式会社まるごとメディア新潟	https://drive.google.com/file/d/1PjVPoJKXvoGMyg14xGdty18m25NDITVV/view?usp=drive_link	https://s-joho.com/life/
12	株式会社文化	https://drive.google.com/file/d/1gKpdkQDCpazdtYTYRl3qjslVDiXJeJzN/view?usp=drive_link	https://bunka-net.co.jp/
13	サイボウズ株式会社	https://drive.google.com/file/d/1JWZfItO00Z-lZzD4Vgj50OASGUmzE5uQ/view?usp=drive_link	https://cybozu.github.io/summer-blog-fes-2025/
